8.2,20,10000
8.2,40,13000
3.9,10,7000
3,11,7000
3,30,8000
2.11,20,8000
6.6,20,8500
6.6,40,10000
3.1,10,7000
4.5,20,8500
4.5,40,9000
15.7,30,15500
1.95,10,7000
3.6,30,10000
15.7,50,17000
6.4,25,10000
1.34,10,7000
2.02,20,7000
2.02,30,8500
4.4,20,8500
3.8,22,8000
4.4,40,10000
3.8,30,9000
3.2,15,7000
3.2,30,9000
1.6,10,7000
1.6,20,8000
4.8,30,9000
5.7,20,8500
3.8,15,8500
5.7,40,10000
2,10,8000
2.1,15,7000
2.1,25,8000
3.8,30,9000
2.5,15,8000
4,15,7000
2.31,20,7000
2.31,30,8000
4,30,8000
5.4,20,8500
2.3,20,7000
2.3,30,9000
5.4,40,10000
3,12,9000
7.2,20,10000
7.2,40,13000
5.9,25,10000
13.7,40,15500
2.33,10,7000
6.4,40,12000
3.8,20,8500
4.1,15,8000
4.1,40,9000
3.38,18,8000
1.7,15,8500
2.31,20,8500
1.41,15,7500
5.4,40,10000
7,25,10000
7,50,13000
4,15,7000
4,30,8000
4.6,15,8500
1.66,10,7000
4.1,40,9000
4.42,25,9000
4.1,15,8000
1.25,10,7000
7.1,20,10000
7.1,40,13000
4.5,15,8500
5.5,20,8500
5.5,40,10000
1.38,15,8000
4.4,18,9000
6.1,20,8500
4.6,30,10000
3.9,15,9000
6.5,20,8500
6.1,40,12000
5,25,9000
6.5,40,13000
3.4,15,8000
7.5,25,10000
7.7,50,14000
4.3,25,8000
3.4,25,8500
5.4,20,8500
6.8,50,13000
2.43,20,8500
2.04,15,8000
2.11,10,7000
4,15,7000
4,30,9000
4,15,7000
1.35,15,7000
7.1,20,10000
1,10,7000
1.12,12,7000